,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Europa,Mars,True,PSO J318.5-22,TRAPPIST-1e,True,B,C,D,E,F,G,P,S,T,G,P,S
8350,0.2911392405063291,0.0,0.015798477174387014,0.00510812191384301,0.0005801499464476973,0.0002486222185389301,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5602,0.2911392405063291,0.007817407691770781,0.03971421862945695,0.0060871786139962535,8.925383791503035e-05,0.024240666307545684,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
633,0.18987341772151897,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
5717,0.22784810126582278,0.20269421372234242,0.00016771207191493645,0.002128384130767921,0.0,0.00037293332780839516,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8197,0.31645569620253167,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1578,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
511,0.4050632911392405,0.04648565645285126,0.0,0.0,0.011245983577293825,4.1437036423155016e-05,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5471,0.6582278481012658,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8614,0.4050632911392405,0.07000767781112585,0.030490054674135444,0.0,0.0,0.0006215555463473252,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1260,0.4050632911392405,0.0,0.016301613390131822,0.0,0.010219564441270975,0.0010773629470020305,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4989,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4428,0.5063291139240507,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8339,0.4050632911392405,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3139,0.2911392405063291,0.001675158791093739,3.3542414382987286e-05,0.05380555082581304,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7894,0.3670886075949367,0.022614643679765477,0.0,0.023241954707985697,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4436,0.3037974683544304,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1081,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6872,0.45569620253164556,0.0144482445731835,0.0,0.01915545717691129,0.004194930382006427,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8219,0.25316455696202533,0.061003699308996996,0.0,0.0034054146092286734,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6708,0.46835443037974683,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4506,0.6835443037974683,0.0,0.09569650823466273,0.0,0.0,0.06903410268097626,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1564,0.5189873417721519,0.0,0.0027504779794049576,0.00012770304784607525,0.0,0.0297517921518253,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
6309,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3928,0.43037974683544306,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2578,0.3924050632911392,0.006351643749563761,0.02535806527353839,0.0,0.0,0.0004972444370778602,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4133,0.6329113924050633,0.0,0.027404152550900614,0.016516260854759067,0.0034808996786861836,0.028715866241246425,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2757,0.3291139240506329,0.1430864800725902,0.2859490826149666,0.0,0.012049268118529098,0.02635395516512659,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6512,0.4810126582278481,0.013261673762825435,3.3542414382987286e-05,0.026221692491060787,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7392,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8581,0.24050632911392406,0.04467090109583304,0.0,0.0,0.0016958229203855766,0.0004972444370778602,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5645,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6590,0.35443037974683544,0.13945696935855378,0.0,0.0005533798739996594,0.0038825419493038202,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4381,0.37974683544303794,0.0053744677880924125,0.07798611344044544,0.0002128384130767921,0.005221349518029276,4.1437036423155016e-05,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
919,0.20253164556962025,0.00020939484888671738,0.0,0.0014898688915375446,0.0066940378436272764,0.019806903410268098,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6800,0.22784810126582278,0.00020939484888671738,0.023077181095495253,0.0,0.0,0.0009530518377325654,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3644,0.37974683544303794,0.0,0.023144265924261227,0.0,0.0021867190289182434,0.09381345046202295,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
8515,0.31645569620253167,0.08780623996649682,0.0,0.0009364890175378852,0.0008479114601927883,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6979,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6206,0.34177215189873417,0.0,0.0,0.0009790567001532436,0.0013388075687254552,0.033771184684871336,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5611,0.5063291139240507,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015,0.4810126582278481,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4435,0.25316455696202533,0.0,0.0,0.004725012770304784,0.0017404498393430918,0.045332117846931586,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3007,0.11392405063291139,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7240,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1596,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6418,0.17721518987341772,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6188,0.16455696202531644,0.0,0.02250696005098447,0.0,0.0003570153516601214,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5858,0.43037974683544306,0.0,0.039378794485627075,0.0,0.005801499464476972,0.047279658558819875,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2904,0.3291139240506329,0.06365603406156209,0.0,0.001830410352460412,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
8096,0.6962025316455696,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1763,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6296,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4604,0.2911392405063291,0.004327493543658826,0.0,0.0,4.4626918957515175e-05,0.0912857912402105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7252,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
72,0.35443037974683544,0.0009771759614713477,0.0,0.05512514898688915,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4364,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2754,0.6835443037974683,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7802,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5004,0.26582278481012656,0.002582536469602848,0.0,0.001319598161076111,0.031060335594430562,0.002610533294658766,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4132,0.9493670886075949,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3360,0.3037974683544304,6.979828296223913e-05,0.026498507362559955,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
8386,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
582,0.46835443037974683,0.0018845536399804564,0.021936739006473686,0.0004256768261535842,0.03931631560157087,0.3964695644967472,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2889,0.1518987341772152,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8487,0.3670886075949367,0.0,0.42139335189346927,0.0,0.00013388075687254553,0.2095470931918949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2238,0.26582278481012656,0.0,0.026163083218730083,0.0018729780350757704,0.0,0.00020718518211577507,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4669,0.4050632911392405,0.19236406784393104,0.004192801797873411,0.00038310914353822576,0.0,0.004268014751584967,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1392,0.5822784810126582,0.0,0.0,0.085986718883024,0.014414494823277401,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2867,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1997,0.25316455696202533,0.0052348712221679345,0.0,0.0,0.06894858978936094,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6993,0.569620253164557,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5504,0.620253164556962,0.0013959656592447826,0.0,0.0,0.03431810067832917,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
336,0.22784810126582278,0.0011865708103580652,0.0072116190923422665,0.00017027073046143367,0.22902534808996788,0.028881614386939047,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2471,0.20253164556962025,0.0032107210162629998,0.0,0.08487995913502469,0.0,0.028052873658475946,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
5660,0.16455696202531644,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1861,0.21518987341772153,0.028896489146367,0.0,0.00591690788353482,0.0012495537308104248,0.007168607301205818,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2430,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
805,0.6835443037974683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
6020,0.22784810126582278,0.007957004257695261,0.004394056284171334,0.03946024178443725,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5650,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
212,0.20253164556962025,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3024,0.11392405063291139,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8296,0.26582278481012656,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3720,0.3037974683544304,0.001116772527395826,0.0,0.04835688745104716,0.0,0.0016574814569262006,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7313,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1248,0.12658227848101267,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4900,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2697,0.22784810126582278,0.0002791931318489565,0.030322342602220508,0.0,0.0,4.1437036423155016e-05,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6197,0.25316455696202533,0.0,0.01891792171200483,0.0010641920653839604,0.007051053195287398,0.002569096258235611,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6134,0.26582278481012656,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
698,0.17721518987341772,0.0004885879807356738,0.02619662563311307,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1780,0.6329113924050633,0.00034899141481119564,0.027135813235836713,0.0,0.01378971795787219,0.030290473625326317,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1739,0.17721518987341772,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3081,0.5063291139240507,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8090,0.22784810126582278,0.14294688350666573,0.0,8.513536523071684e-05,0.03784362727597287,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2114,0.24050632911392406,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
783,0.24050632911392406,0.0,0.01881729446885587,0.0004256768261535842,0.0,0.006671362864127958,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4599,0.4050632911392405,0.000558386263697913,0.023144265924261227,0.00012770304784607525,0.00022313459478757588,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3506,0.25316455696202533,0.0,0.0,0.030521028435211987,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4256,0.6835443037974683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2716,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
493,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5178,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3883,0.4810126582278481,0.0,0.0006037634588937712,0.0012770304784607525,0.0,0.034475614304064976,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5530,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4823,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6594,0.24050632911392406,0.0,0.0,0.0,0.0358800428418422,0.00020718518211577507,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1630,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1873,0.6962025316455696,0.026034759544915194,3.3542414382987286e-05,4.256768261535842e-05,0.022134951802927526,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8179,0.620253164556962,0.0,0.12923892261765002,0.0,0.010933595144591218,0.007375792483321593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4071,0.5949367088607594,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
4917,0.4810126582278481,0.015216025685768129,0.0,0.02494466201260003,0.03436272759728669,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
6335,0.26582278481012656,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2102,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8490,0.37974683544303794,0.01116772527395826,0.0,0.030606163800442704,0.007229560871117458,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
262,0.24050632911392406,0.0,0.0,0.0,0.0,0.03430986615837235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8566,0.46835443037974683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7628,0.25316455696202533,0.0,0.004763022842384195,0.0,0.15744377008211355,0.0038122073509302616,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5464,0.5443037974683544,0.0,0.295441585885352,0.0,0.025883612995358803,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3674,0.46835443037974683,0.0009771759614713477,0.0,0.003873659117997616,0.05368618350589076,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2541,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5498,0.21518987341772153,0.0,0.018985006540770805,0.0007662182870764515,0.014191360228489826,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1184,0.18987341772151897,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5884,0.5063291139240507,0.021009283171633978,0.0,0.05576366422611953,0.0001785076758300607,0.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1175,0.46835443037974683,0.0,0.15687787206923154,0.0,0.005132095680114245,0.009240459122363568,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
642,0.31645569620253167,6.979828296223913e-05,0.0,0.0016175719393836199,0.0003123884327026062,0.03066340695313471,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7879,0.43037974683544306,0.0030711244503385214,0.0432697145540536,0.002170951813383279,0.0,0.00037293332780839516,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5143,0.25316455696202533,0.0,0.0,0.02124127362506385,0.012718671902891825,0.004268014751584967,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7881,0.6582278481012658,0.020171703776087107,0.01012980914366216,0.0,0.004998214923241699,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5839,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7021,0.45569620253164556,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4638,0.24050632911392406,0.0,0.06966759467346459,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
59,0.4177215189873418,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
6093,0.21518987341772153,0.0,0.0,0.0,0.0805962156372724,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7813,0.49367088607594933,0.0,0.008754570153959682,0.0,0.08171188861121029,0.07446235445240956,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2666,0.20253164556962025,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1845,0.5189873417721519,0.25839324352620924,0.0,4.256768261535842e-05,0.0,0.0007458666556167903,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
6895,0.6455696202531646,0.00020939484888671738,0.0011068996746385804,0.000510812191384301,0.0016958229203855766,0.03712758463514689,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
7156,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3963,0.27848101265822783,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
7171,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7373,0.2911392405063291,0.11237523556920499,6.708482876597457e-05,0.019793972416141663,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4848,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3907,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1278,0.5189873417721519,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3207,0.26582278481012656,0.0,0.09505920236138597,0.0,0.018475544448411284,0.0231218663241205,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2805,0.27848101265822783,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1020,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7757,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3602,0.5316455696202531,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2945,0.7594936708860759,0.0,0.001039814845872606,0.0002554060956921505,0.009951802927525883,0.014751584966643186,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
547,0.26582278481012656,0.0,0.0,0.02660480163459901,0.004908961085326669,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7596,0.25316455696202533,0.006770433447337195,0.009358333612853454,0.0,0.013432702606212068,0.0016160444205030457,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8628,0.46835443037974683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
952,0.3670886075949367,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
782,0.22784810126582278,0.05241851050464159,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1737,0.6835443037974683,0.0,0.010599402945023982,0.010939894432147114,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8147,0.45569620253164556,0.0,0.003287156609532754,0.01941086327260344,0.012361656551231703,0.002900592549620851,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2792,0.5063291139240507,0.005723459202903608,0.04662395599235233,0.0,0.015485540878257766,0.25844279617121785,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7164,0.31645569620253167,0.0,0.5372153087579243,0.04363187468074238,0.008434487682970369,0.04297020677081175,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
505,0.21518987341772153,0.10267327423745376,0.0,0.0,0.002008211353088183,0.0006629925827704803,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1618,0.34177215189873417,0.00718922314511063,3.3542414382987286e-05,0.0020858164481525627,0.10804177079614424,0.0009944888741557204,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
