,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Europa,Mars,True,PSO J318.5-22,TRAPPIST-1e,True,B,C,D,E,F,G,P,S,T,G,P,S
7534,0.6835443037974683,0.0,0.026599134605708917,0.0,0.0038825419493038202,0.0649318360750839,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3655,0.35443037974683544,0.00020939484888671738,0.043605138697883475,0.0,0.05578364869689397,0.047569717813781956,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1621,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
8624,0.4177215189873418,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8447,0.3291139240506329,0.09052837300202415,0.0,0.002639196322152222,0.0,0.015083081258028425,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2705,0.4810126582278481,6.979828296223913e-05,0.0,0.012259492593223224,0.0,0.02303899225127419,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6852,0.569620253164557,0.12431074195574789,0.0,0.0007236506044610931,0.0,0.0009530518377325654,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4616,0.3037974683544304,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2075,0.17721518987341772,0.0,0.02012544862979237,0.0,0.009103891467333095,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8109,0.17721518987341772,0.031409227333007605,0.16070170730889208,0.03814064362336114,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
849,0.3924050632911392,0.0,0.25025995371146814,0.0,0.0164673330953231,0.018646666390419758,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
289,0.22784810126582278,0.0,6.708482876597457e-05,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4410,0.24050632911392406,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7457,0.4050632911392405,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
5966,0.3924050632911392,0.0013261673762825434,0.01707308892094053,0.0,0.0,0.007334355446898437,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3121,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
815,0.34177215189873417,0.00013959656592447826,0.028511052225539193,0.0007662182870764515,8.925383791503035e-05,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8625,0.37974683544303794,0.0,0.027370610136517627,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7734,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3476,0.3670886075949367,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3823,0.45569620253164556,0.0,0.07302183611176333,0.0,0.048955730096394146,0.005966933244934323,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2636,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7116,0.3924050632911392,0.0,0.03354241438298729,0.0,0.0008479114601927883,0.07359217668752331,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3468,0.43037974683544306,0.0,0.00013416965753194915,0.0,0.030569439485897895,0.07371648779679277,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1234,0.46835443037974683,0.0,0.014725119914131418,0.0,0.14271688682613354,0.0002486222185389301,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2791,0.16455696202531644,0.0,0.008586858082044745,0.0,0.009237772224205642,0.016947747897070403,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2109,0.5443037974683544,0.03385216723668598,0.00013416965753194915,0.005789204835688745,0.0021420921099607284,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2562,0.22784810126582278,0.041878969777343476,0.0,0.0,0.007988218493395217,0.0004558074006547052,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1957,0.5443037974683544,0.03810986249738257,0.0,0.0017452749872296951,0.031685112459835775,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
5856,0.3291139240506329,0.0,0.0003018817294468856,0.0,0.00013388075687254553,0.08482161355819831,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3556,0.34177215189873417,0.0,6.708482876597457e-05,0.0,0.0,0.0359259105788754,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2934,0.22784810126582278,0.0,0.0,0.029754810148135535,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1531,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6541,0.18987341772151897,0.0,0.0,0.0,0.04186004998214923,0.0018232296026188207,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
5968,0.5063291139240507,6.979828296223913e-05,0.0,0.03809807594074578,0.00044626918957515175,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
159,0.25316455696202533,0.0,0.0,0.00012770304784607525,0.013343448768297038,0.0038122073509302616,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
498,0.35443037974683544,0.0,0.03599101063294536,0.0,0.0,0.00020718518211577507,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6469,0.9240506329113924,0.012633489216165281,3.3542414382987286e-05,0.03575685339690107,0.11683327383077473,0.08076078398872913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3028,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7233,0.49367088607594933,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4818,0.5063291139240507,0.0,0.1279643108710965,0.0,0.014369867904319886,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6844,0.5949367088607594,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1271,0.17721518987341772,0.10392964333077406,6.708482876597457e-05,0.00536352800953516,0.02052838272045698,0.0029834666224671613,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3428,0.31645569620253167,0.0,0.5847113675242344,0.0,0.010755087468761157,0.08710065056147184,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1783,0.49367088607594933,0.0,0.3405561332304699,4.256768261535842e-05,0.0034808996786861836,0.20979571541043385,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6680,0.3037974683544304,0.016402596496126194,0.0,0.06989613485441852,0.04650124955373081,0.009489081340902499,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2412,0.22784810126582278,0.0006281845466601522,0.014054271626471673,0.0,0.00897001071046055,0.0002900592549620851,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4987,0.4810126582278481,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2890,0.5949367088607594,0.07887205974733022,0.0002683393150638983,0.012727737101992168,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1717,0.24050632911392406,0.0,0.04471203837252205,0.00012770304784607525,0.02784719742948947,0.010525007251481373,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5694,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8482,0.3924050632911392,0.07412577650589795,0.053835575084694595,0.0,0.12129596572652625,0.0693655989723615,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4284,0.37974683544303794,0.0,0.0014423238184684533,0.0,0.0,0.0002486222185389301,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3008,0.25316455696202533,0.035457527744817474,0.0,4.256768261535842e-05,0.061228132809710824,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5914,0.2911392405063291,0.048160815243945,0.0,0.0,0.013031060335594431,0.0661335101313554,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
7168,0.3037974683544304,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7671,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7454,0.16455696202531644,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2900,0.3924050632911392,0.0,0.0046959380136182205,0.016771666950451215,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6324,0.7215189873417721,0.0,0.007312246335491228,0.0,0.3803106033559443,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5641,0.37974683544303794,0.03329378097298807,0.0,0.00034054146092286734,0.0,0.01338416276467907,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4184,0.5443037974683544,0.002163746771829413,0.0025492234931070337,0.0,0.06038022134951803,0.07098164339286454,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1924,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8026,0.24050632911392406,0.0,0.04716063462248012,0.0,0.18738843270260622,0.0879708283263581,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3027,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4711,0.45569620253164556,0.0,0.0,0.0,0.021153159585862193,0.0004972444370778602,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5131,0.46835443037974683,0.002163746771829413,0.31217925066246266,0.0,0.04034273473759372,0.4646334894128372,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7632,0.22784810126582278,0.0,0.01703954650655754,0.0,0.0019635844341306676,0.010649318360750839,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2310,0.8734177215189873,0.312905702519718,0.0,0.02234803337306317,0.0,0.020718518211577507,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3111,0.24050632911392406,0.0,0.15073961023714486,0.0,0.0004908961085326669,0.14337214602411635,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5021,0.7594936708860759,0.0658197808333915,0.0017777479622983262,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2328,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
6069,0.6455696202531646,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1613,0.18987341772151897,0.1084665317233196,0.0,0.02749872296952154,0.0008925383791503035,0.05142336220113537,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
7358,0.4810126582278481,0.0,0.0,0.0,0.07649053909318101,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6147,0.3037974683544304,0.0,0.0,0.0022560871786139964,0.029096751160299895,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1093,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6041,0.18987341772151897,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2060,0.3924050632911392,0.0,0.0,0.007960156649072025,0.026865405212424136,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
659,0.43037974683544306,0.1377120122844978,0.0,0.004129065213689767,0.0018297036772581222,0.00012431110926946505,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
8074,0.4810126582278481,0.12137921407133384,0.0,0.0,0.0037040342734737594,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
5962,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6529,0.31645569620253167,0.0,0.15469761513433736,0.0,0.11536058550517672,0.07951767289603448,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4939,0.18987341772151897,0.0,0.013416965753194914,0.0,0.0,0.029088799569054823,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1932,0.37974683544303794,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4164,0.4177215189873418,0.0,0.13473987857645994,0.0,0.0,0.09364770231633034,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5371,0.49367088607594933,0.0,0.3976788649246973,0.0005533798739996594,0.0017404498393430918,0.00012431110926946505,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
281,0.7594936708860759,0.0004885879807356738,0.018112903766813133,4.256768261535842e-05,0.0,0.00016574814569262006,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8563,0.27848101265822783,6.979828296223913e-05,0.023546774896857074,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2094,0.3291139240506329,0.0064912403154882385,0.0,0.019964243146603097,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3979,0.5443037974683544,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3940,0.31645569620253167,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3763,0.46835443037974683,0.45354924268862984,0.049307349142991314,0.0,0.018564798286326314,0.17295819003024904,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7018,0.13924050632911392,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6631,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7986,0.24050632911392406,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6300,0.6075949367088608,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
7382,0.16455696202531644,0.0023731416207161305,3.3542414382987286e-05,0.0,0.03677258122099251,0.0012016740562714955,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4125,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6408,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7817,0.4177215189873418,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
